date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:17	52405/52405	---M--	200	added ('OK')	image/jpeg	etag:%2258087835-ccb5%22	http://laread.evmet.net/html/live-preview/assets/img/banner-85.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-85.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:24	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258930551-152b5%22	http://laread.evmet.net/html/live-preview/assets/js/jquery.min.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/jquery.min.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:27	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258930547-90b5%22	http://laread.evmet.net/html/live-preview/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/bootstrap.min.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:29	16780/16780	---MCZ	200	added ('OK')	application/javascript	etag:W/%225893054c-418c%22	http://laread.evmet.net/html/live-preview/assets/js/jasny-bootstrap.min.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/jasny-bootstrap.min.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:31	14551/14551	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258930554-38d7%22	http://laread.evmet.net/html/live-preview/assets/js/prettify.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/prettify.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:33	868/868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22364-547895bfdbac0%22	http://laread.evmet.net/html/live-preview/assets/js/lang-css.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/lang-css.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:35	31564/31564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225893054f-7b4c%22	http://laread.evmet.net/html/live-preview/assets/js/jquery.blueimp-gallery.min.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/jquery.blueimp-gallery.min.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:38	6949/6949	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258930548-1b25%22	http://laread.evmet.net/html/live-preview/assets/js/imagesloaded.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/imagesloaded.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:41	25250/25250	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258930553-62a2%22	http://laread.evmet.net/html/live-preview/assets/js/masonry.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/masonry.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:42	2760/2760	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a4df9b7-ac8%22	http://laread.evmet.net/html/live-preview/assets/js/viewportchecker.js	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/js/viewportchecker.js	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
